4.49	5.33	3.23	5.19	4.36	4.88	3.76	3.93	5.03	4.25	4.27	2.76	4.07	5.99	3.58	4.38	5.24	3.29	3.74	5.05	3.57	4.58
4.61	6.01	4.91	5.37	5.11	4.70	4.88	5.06	5.31	4.93	4.54	4.04	5.22	5.94	4.07	5.19	5.09	4.31	4.47	4.55	4.40	4.42
5.68	5.64	4.55	5.14	5.39	6.17	4.99	5.36	5.20	4.36	5.62	4.81	4.94	6.05	4.95	5.45	5.74	4.69	4.15	6.05	4.20	5.96
4.63	5.02	4.00	4.53	5.00	3.74	4.85	5.55	5.25	4.47	5.24	5.15	3.93	4.99	4.98	4.81	4.85	5.14	3.65	4.65	4.63	4.69
5.96	6.03	3.73	4.45	3.79	4.13	3.64	3.45	4.23	3.26	3.78	2.90	4.11	6.36	3.88	5.26	6.01	3.34	6.02	5.34	3.12	5.63
5.90	5.91	3.50	4.27	4.16	5.21	3.90	4.40	4.65	3.41	4.41	4.21	4.08	6.38	4.89	5.52	6.17	3.91	4.96	6.07	4.12	6.00
4.96	5.16	3.11	3.81	4.52	4.04	3.64	4.29	4.03	3.59	4.29	3.54	3.71	5.89	4.60	4.77	5.60	3.01	4.26	5.02	3.76	5.50
5.01	6.08	4.00	4.31	5.01	4.82	4.17	4.83	3.93	3.93	5.38	3.86	4.74	6.35	4.55	5.56	5.78	5.08	4.50	5.20	3.88	5.48
4.80	4.84	3.07	3.46	3.61	3.70	3.07	3.10	3.25	3.17	3.57	3.05	3.08	5.94	3.70	4.71	5.46	2.86	3.62	4.49	2.83	5.36
4.68	5.58	3.39	4.19	4.36	4.62	3.67	4.61	3.86	3.95	4.68	3.36	3.96	5.79	4.00	4.58	5.34	4.27	3.73	5.02	3.50	5.33
3.66	3.51	2.65	3.66	4.20	3.55	3.22	3.08	4.15	3.63	3.77	2.93	2.98	3.95	2.98	3.75	4.19	3.18	2.65	4.20	3.24	4.02
4.27	4.47	3.93	4.94	3.52	4.57	3.50	4.12	4.23	4.10	5.24	3.96	3.90	4.77	4.24	4.83	4.92	4.24	4.78	4.51	4.17	4.88
166.31	113.35	9.98	12.00	32.70	91.44	9.22	6.13	10.22	3.22	13.01	9.20	62.98	315.05	15.83	118.15	226.89	24.97	53.84	138.71	7.15	300.83
5.43	4.23	3.69	4.78	4.92	5.43	4.82	4.12	4.83	3.96	4.32	3.96	3.74	6.18	4.52	3.60	5.22	4.29	3.38	5.83	4.01	5.37
3.47	2.58	2.90	4.21	4.79	5.34	4.13	2.98	3.73	3.99	3.34	2.88	2.44	5.70	3.23	2.73	3.39	4.18	2.44	2.85	3.36	3.47
3.91	3.56	3.88	4.02	4.90	4.19	4.77	4.80	4.06	3.90	3.42	4.44	3.49	5.25	4.63	3.88	4.33	3.98	2.61	3.73	4.14	3.79
4.36	4.50	2.11	4.05	3.02	4.35	3.07	2.66	4.05	3.31	3.12	2.40	2.88	5.78	3.31	3.61	5.06	2.58	2.60	5.58	2.70	4.75
4.12	4.03	1.81	3.52	3.06	3.42	2.73	2.31	4.32	2.95	3.41	2.60	2.51	6.07	3.07	3.84	4.70	2.59	2.34	4.84	2.45	4.29
2.86	3.33	2.42	2.38	3.27	2.80	2.49	2.55	3.81	3.04	2.40	3.29	1.59	3.58	3.33	3.78	3.35	2.00	1.61	4.31	2.59	4.09
2.69	3.30	2.20	2.67	3.43	2.77	2.95	2.68	3.10	2.91	2.55	2.77	2.03	3.43	3.06	3.25	3.40	2.11	1.97	4.32	2.35	4.16
6.03	6.27	5.06	5.41	5.83	6.43	5.66	5.72	5.71	4.85	6.27	5.22	5.49	6.40	5.21	6.09	6.19	5.34	4.96	6.49	4.45	6.35
